close,date
66865.0,2024-06-17
64475.0,2024-06-18
65100.0,2024-06-20
64260.0,2024-06-21
59145.0,2024-06-24
62055.0,2024-06-25
60940.0,2024-06-26
61365.0,2024-06-27
61024.23046875,2024-06-28
63695.0,2024-07-01
62185.0,2024-07-02
59825.0,2024-07-03
56685.0,2024-07-05
56755.0,2024-07-08
58160.0,2024-07-09
57625.0,2024-07-10
57580.0,2024-07-11
57845.0,2024-07-12
63700.0,2024-07-15
65450.0,2024-07-16
64730.0,2024-07-17
63650.0,2024-07-18
67480.0,2024-07-19
68340.0,2024-07-22
65565.0,2024-07-23
65700.0,2024-07-24
64695.0,2024-07-25
67414.7890625,2024-07-26
67860.0,2024-07-29
66385.0,2024-07-30
65685.0,2024-07-31
63790.0,2024-08-01
62945.0,2024-08-02
53770.0,2024-08-05
57145.0,2024-08-06
55000.0,2024-08-07
59695.0,2024-08-08
60990.0,2024-08-09
59200.0,2024-08-12
61105.0,2024-08-13
59080.0,2024-08-14
57220.0,2024-08-15
59990.0,2024-08-16
59200.0,2024-08-19
59670.0,2024-08-20
61730.0,2024-08-21
60350.0,2024-08-22
63815.0,2024-08-23
63330.0,2024-08-26
62055.0,2024-08-27
58950.0,2024-08-28
59275.0,2024-08-29
59165.640625,2024-08-30
58240.0,2024-09-03
58355.0,2024-09-04
56215.0,2024-09-05
53695.0,2024-09-06
57410.0,2024-09-09
58195.0,2024-09-10
57860.0,2024-09-11
58580.0,2024-09-12
59935.0,2024-09-13
57985.0,2024-09-16
60105.0,2024-09-17
60140.0,2024-09-18
63415.0,2024-09-19
62935.0,2024-09-20
63360.0,2024-09-23
64460.0,2024-09-24
63200.0,2024-09-25
64735.0,2024-09-26
66196.90625,2024-09-27
63745.0,2024-09-30
61965.0,2024-10-01
60430.0,2024-10-02
61295.0,2024-10-03
62715.0,2024-10-04
63560.0,2024-10-07
62400.0,2024-10-08
61115.0,2024-10-09
59795.0,2024-10-10
63305.0,2024-10-11
66145.0,2024-10-14
67220.0,2024-10-15
67925.0,2024-10-16
66905.0,2024-10-17
68785.0,2024-10-18
67790.0,2024-10-21
67490.0,2024-10-22
66360.0,2024-10-23
68215.0,2024-10-24
68430.5078125,2024-10-25
70300.0,2024-10-28
73340.0,2024-10-29
72535.0,2024-10-30
70465.0,2024-10-31
69730.0,2024-11-01
67680.0,2024-11-04
69860.0,2024-11-05
76875.0,2024-11-06
77180.0,2024-11-07
77360.0,2024-11-08
87735.0,2024-11-11
