close,date
582.0,2024-06-18
572.75,2024-06-20
561.5,2024-06-21
552.5,2024-06-24
541.75,2024-06-25
541.25,2024-06-26
559.75,2024-06-27
553.5,2024-06-28
569.25,2024-07-01
561.5,2024-07-02
554.5,2024-07-03
572.25,2024-07-05
553.0,2024-07-08
554.25,2024-07-09
543.5,2024-07-10
554.25,2024-07-11
538.0,2024-07-12
532.5,2024-07-15
530.75,2024-07-16
539.25,2024-07-17
535.25,2024-07-18
542.75,2024-07-19
548.0,2024-07-22
542.75,2024-07-23
547.0,2024-07-24
537.75,2024-07-25
523.5,2024-07-26
531.0,2024-07-29
524.0,2024-07-30
527.25,2024-07-31
532.0,2024-08-01
539.0,2024-08-02
539.5,2024-08-05
543.25,2024-08-06
538.25,2024-08-07
537.5,2024-08-08
542.5,2024-08-09
536.75,2024-08-12
528.75,2024-08-13
534.75,2024-08-14
528.25,2024-08-15
530.0,2024-08-16
528.25,2024-08-19
533.0,2024-08-20
519.75,2024-08-21
511.0,2024-08-22
502.25,2024-08-23
498.0,2024-08-26
508.25,2024-08-27
514.25,2024-08-28
525.0,2024-08-29
532.75,2024-08-30
552.0,2024-09-03
565.25,2024-09-04
561.0,2024-09-05
553.25,2024-09-06
555.5,2024-09-09
558.75,2024-09-10
563.75,2024-09-11
563.0,2024-09-12
571.25,2024-09-13
578.5,2024-09-16
575.75,2024-09-17
575.75,2024-09-18
565.5,2024-09-19
568.5,2024-09-20
582.5,2024-09-23
578.0,2024-09-24
589.25,2024-09-25
584.25,2024-09-26
580.0,2024-09-27
584.0,2024-09-30
599.0,2024-10-01
615.25,2024-10-02
603.5,2024-10-03
589.75,2024-10-04
592.5,2024-10-07
594.75,2024-10-08
599.0,2024-10-09
603.75,2024-10-10
599.0,2024-10-11
585.25,2024-10-14
579.5,2024-10-15
585.0,2024-10-16
589.5,2024-10-17
572.75,2024-10-18
572.25,2024-10-21
576.0,2024-10-22
578.5,2024-10-23
581.5,2024-10-24
569.0,2024-10-25
558.75,2024-10-28
570.5,2024-10-29
573.25,2024-10-30
570.5,2024-10-31
568.0,2024-11-01
568.75,2024-11-04
572.5,2024-11-05
573.25,2024-11-06
571.5,2024-11-07
572.5,2024-11-08
565.5,2024-11-11
552.25,2024-11-12
541.0,2024-11-13
530.25,2024-11-14
536.5,2024-11-15
547.25,2024-11-18
549.75,2024-11-19
552.5,2024-11-20
548.75,2024-11-21
544.25,2024-11-22
535.75,2024-11-25
539.5,2024-11-26
537.75,2024-11-27
532.25,2024-11-29
537.5,2024-12-02
536.75,2024-12-03
538.0,2024-12-04
546.75,2024-12-05
542.5,2024-12-06
541.25,2024-12-09
542.0,2024-12-10
543.5,2024-12-11
538.75,2024-12-12
526.5,2024-12-13
550.0,2024-12-16
545.0,2024-12-17
541.25,2024-12-18
533.0,2024-12-19
533.0,2024-12-20
540.5,2024-12-23
534.75,2024-12-24
541.0,2024-12-26
546.5,2024-12-27
548.25,2024-12-30
551.5,2024-12-31
545.75,2025-01-02
529.25,2025-01-03
540.5,2025-01-06
542.5,2025-01-07
536.25,2025-01-08
534.0,2025-01-09
530.75,2025-01-10
545.0,2025-01-13
546.25,2025-01-14
547.0,2025-01-15
537.5,2025-01-16
538.75,2025-01-17
558.75,2025-01-21
554.0,2025-01-22
554.0,2025-01-23
544.0,2025-01-24
535.5,2025-01-27
545.25,2025-01-28
562.5,2025-01-29
566.5,2025-01-30
559.5,2025-01-31
566.75,2025-02-03
577.0,2025-02-04
572.25,2025-02-05
587.75,2025-02-06
582.75,2025-02-07
579.5,2025-02-10
577.0,2025-02-11
574.25,2025-02-12
577.75,2025-02-13
600.0,2025-02-14
604.75,2025-02-18
592.0,2025-02-19
585.5,2025-02-20
590.0,2025-02-21
579.0,2025-02-24
572.75,2025-02-25
566.0,2025-02-26
546.75,2025-02-27
537.0,2025-02-28
532.0,2025-03-03
518.5,2025-03-04
530.75,2025-03-05
537.0,2025-03-06
533.75,2025-03-07
545.25,2025-03-10
541.0,2025-03-11
538.75,2025-03-12
547.25,2025-03-13
545.75,2025-03-14
568.5,2025-03-17
565.0,2025-03-18
563.5,2025-03-19
557.25,2025-03-20
558.25,2025-03-21
548.25,2025-03-24
543.25,2025-03-25
535.25,2025-03-26
532.0,2025-03-27
528.25,2025-03-28
537.0,2025-03-31
540.5,2025-04-01
539.25,2025-04-02
536.0,2025-04-03
529.0,2025-04-04
536.5,2025-04-07
540.0,2025-04-08
542.25,2025-04-09
538.0,2025-04-10
555.75,2025-04-11
547.5,2025-04-14
542.0,2025-04-15
547.75,2025-04-16
548.75,2025-04-17
538.5,2025-04-21
535.5,2025-04-22
528.25,2025-04-23
529.25,2025-04-24
530.0,2025-04-25
515.5,2025-04-28
505.75,2025-04-29
513.0,2025-04-30
515.25,2025-05-01
526.5,2025-05-02
514.25,2025-05-05
519.0,2025-05-06
518.0,2025-05-07
513.0,2025-05-08
505.5,2025-05-09
499.0,2025-05-12
501.5,2025-05-13
508.75,2025-05-14
532.75,2025-05-15
525.0,2025-05-16
529.0,2025-05-19
546.0,2025-05-20
549.25,2025-05-21
544.5,2025-05-22
542.5,2025-05-23
528.5,2025-05-27
530.25,2025-05-28
534.0,2025-05-29
534.0,2025-05-30
539.0,2025-06-02
536.0,2025-06-03
543.25,2025-06-04
545.5,2025-06-05
554.75,2025-06-06
542.0,2025-06-09
534.5,2025-06-10
534.25,2025-06-11
526.5,2025-06-12
543.75,2025-06-13
536.5,2025-06-16
549.0,2025-06-17
574.25,2025-06-18
567.75,2025-06-20
552.75,2025-06-23
535.75,2025-06-24
528.25,2025-06-25
521.0,2025-06-26
524.75,2025-06-27
528.75,2025-06-30
537.25,2025-07-01
556.0,2025-07-02
547.75,2025-07-03
539.75,2025-07-07
543.0,2025-07-08
542.75,2025-07-09
550.25,2025-07-10
540.75,2025-07-11
534.0,2025-07-14
538.0,2025-07-15
541.25,2025-07-16
533.5,2025-07-17
546.25,2025-07-18
542.25,2025-07-21
549.5,2025-07-22
540.5,2025-07-23
541.5,2025-07-24
538.25,2025-07-25
538.5,2025-07-28
529.75,2025-07-29
523.75,2025-07-30
523.25,2025-07-31
516.75,2025-08-01
516.75,2025-08-04
508.25,2025-08-05
508.5,2025-08-06
518.25,2025-08-07
514.5,2025-08-08
515.0,2025-08-11
505.0,2025-08-12
507.25,2025-08-13
503.5,2025-08-14
506.5,2025-08-15
502.75,2025-08-18
498.5,2025-08-19
505.5,2025-08-20
507.0,2025-08-21
504.75,2025-08-22
506.75,2025-08-25
509.5,2025-08-26
502.25,2025-08-27
510.25,2025-08-28
518.0,2025-08-29
513.0,2025-09-02
504.0,2025-09-03
502.25,2025-09-04
