close,date
7978.0,2024-06-24
7967.0,2024-06-25
7797.0,2024-06-26
7397.0,2024-06-27
7729.0,2024-06-28
7352.0,2024-07-01
7773.0,2024-07-02
7811.0,2024-07-03
7721.0,2024-07-05
7693.0,2024-07-08
8023.0,2024-07-09
8197.0,2024-07-10
8441.0,2024-07-11
8523.0,2024-07-12
8463.0,2024-07-15
8320.0,2024-07-16
7763.0,2024-07-17
8068.0,2024-07-18
7689.0,2024-07-19
8398.0,2024-07-22
8286.0,2024-07-23
8227.0,2024-07-24
7805.0,2024-07-25
8038.0,2024-07-26
7716.0,2024-07-29
8136.0,2024-07-30
8092.0,2024-07-31
7562.0,2024-08-01
7520.0,2024-08-02
7901.0,2024-08-05
8223.0,2024-08-06
8586.0,2024-08-07
8178.0,2024-08-08
9098.0,2024-08-09
8731.0,2024-08-12
8862.0,2024-08-13
8833.0,2024-08-14
8485.0,2024-08-15
8637.0,2024-08-16
9173.0,2024-08-19
9486.0,2024-08-20
9582.0,2024-08-21
9689.0,2024-08-22
9821.0,2024-08-23
9880.0,2024-08-26
9785.0,2024-08-27
9730.0,2024-08-28
9600.0,2024-08-29
9666.0,2024-08-30
9663.0,2024-09-03
9282.0,2024-09-04
9539.0,2024-09-05
9459.0,2024-09-06
9839.0,2024-09-09
9654.0,2024-09-10
10115.0,2024-09-11
9968.0,2024-09-12
10079.0,2024-09-13
7767.0,2024-09-16
7620.0,2024-09-17
7814.0,2024-09-18
7750.0,2024-09-19
7658.0,2024-09-20
7786.0,2024-09-23
7867.0,2024-09-24
7955.0,2024-09-25
8122.0,2024-09-26
8281.0,2024-09-27
7722.0,2024-09-30
7039.0,2024-10-01
7064.0,2024-10-02
7030.0,2024-10-03
7069.0,2024-10-04
6908.0,2024-10-07
7050.0,2024-10-08
7351.0,2024-10-09
7529.0,2024-10-10
7739.0,2024-10-11
7615.0,2024-10-14
7942.0,2024-10-15
7765.0,2024-10-16
7771.0,2024-10-17
7450.0,2024-10-18
7394.0,2024-10-21
7140.0,2024-10-22
7001.0,2024-10-23
6756.0,2024-10-24
6770.0,2024-10-25
6917.0,2024-10-28
7267.0,2024-10-29
7391.0,2024-10-30
7334.0,2024-10-31
7341.0,2024-11-01
7328.0,2024-11-04
7251.0,2024-11-05
6924.0,2024-11-06
7360.0,2024-11-07
7117.0,2024-11-08
7298.0,2024-11-11
7867.0,2024-11-12
8163.0,2024-11-13
8686.0,2024-11-14
8607.0,2024-11-15
8404.0,2024-11-18
8574.0,2024-11-19
8340.0,2024-11-20
8449.0,2024-11-21
8897.0,2024-11-22
8863.0,2024-11-25
9033.0,2024-11-26
8844.0,2024-11-27
9220.0,2024-11-29
9197.0,2024-12-02
8833.0,2024-12-03
9196.0,2024-12-04
9648.0,2024-12-05
9767.0,2024-12-06
9977.0,2024-12-09
10387.0,2024-12-10
10458.0,2024-12-11
10702.0,2024-12-12
11181.0,2024-12-13
11821.0,2024-12-16
11765.0,2024-12-17
12565.0,2024-12-18
12107.0,2024-12-19
11954.0,2024-12-20
11746.0,2024-12-23
11852.0,2024-12-24
11027.0,2024-12-26
10124.0,2024-12-27
11507.0,2024-12-30
11675.0,2024-12-31
11137.0,2025-01-02
11238.0,2025-01-03
11377.0,2025-01-06
11210.0,2025-01-07
10453.0,2025-01-08
10927.0,2025-01-09
10570.0,2025-01-10
10928.0,2025-01-13
10951.0,2025-01-14
10821.0,2025-01-15
10502.0,2025-01-16
11173.0,2025-01-17
11559.0,2025-01-21
11675.0,2025-01-22
11552.0,2025-01-23
11593.0,2025-01-24
11372.0,2025-01-27
11374.0,2025-01-28
11745.0,2025-01-29
11207.0,2025-01-30
10987.0,2025-01-31
11002.0,2025-02-03
10913.0,2025-02-04
10514.0,2025-02-05
10094.0,2025-02-06
10018.0,2025-02-07
9714.0,2025-02-10
10131.0,2025-02-11
10006.0,2025-02-12
10381.0,2025-02-13
10159.0,2025-02-14
10301.0,2025-02-18
10218.0,2025-02-19
10075.0,2025-02-20
8934.0,2025-02-21
8352.0,2025-02-24
8675.0,2025-02-25
9100.0,2025-02-26
9130.0,2025-02-27
9014.0,2025-02-28
8082.0,2025-03-03
8225.0,2025-03-04
7915.0,2025-03-05
8036.0,2025-03-06
8141.0,2025-03-07
8279.0,2025-03-10
8151.0,2025-03-11
8204.0,2025-03-12
8031.0,2025-03-13
7728.0,2025-03-14
7827.0,2025-03-17
8021.0,2025-03-18
8121.0,2025-03-19
8071.0,2025-03-20
7765.0,2025-03-21
8079.0,2025-03-24
7995.0,2025-03-25
8044.0,2025-03-26
7979.0,2025-03-27
8042.0,2025-03-28
7902.0,2025-03-31
8177.0,2025-04-01
8968.0,2025-04-02
9291.0,2025-04-03
8512.0,2025-04-04
8053.0,2025-04-07
7755.0,2025-04-08
8447.0,2025-04-09
8088.0,2025-04-10
8511.0,2025-04-11
8247.0,2025-04-14
8002.0,2025-04-15
8096.0,2025-04-16
8365.0,2025-04-17
8810.0,2025-04-21
9310.0,2025-04-22
9104.0,2025-04-23
9391.0,2025-04-24
9652.0,2025-04-25
9217.0,2025-04-28
9146.0,2025-04-29
9127.0,2025-04-30
8973.0,2025-05-01
9127.0,2025-05-02
8758.0,2025-05-05
9175.0,2025-05-06
9398.0,2025-05-07
9268.0,2025-05-08
9387.0,2025-05-09
9340.0,2025-05-12
10171.0,2025-05-13
10129.0,2025-05-14
10257.0,2025-05-15
10898.0,2025-05-16
10974.0,2025-05-19
10874.0,2025-05-20
10719.0,2025-05-21
10278.0,2025-05-22
9764.0,2025-05-23
9739.0,2025-05-27
9634.0,2025-05-28
9110.0,2025-05-29
9791.0,2025-05-30
9474.0,2025-06-02
9775.0,2025-06-03
9948.0,2025-06-04
10076.0,2025-06-05
10259.0,2025-06-06
10174.0,2025-06-09
9602.0,2025-06-10
9549.0,2025-06-11
9858.0,2025-06-12
9768.0,2025-06-13
10035.0,2025-06-16
9943.0,2025-06-17
9680.0,2025-06-18
8459.0,2025-06-20
9189.0,2025-06-23
9436.0,2025-06-24
9081.0,2025-06-25
9361.0,2025-06-26
9231.0,2025-06-27
9356.0,2025-06-30
9000.0,2025-07-01
8904.0,2025-07-02
8780.0,2025-07-03
8780.0,2025-07-04
8879.0,2025-07-07
8760.0,2025-07-08
9046.0,2025-07-09
8742.0,2025-07-10
8840.0,2025-07-11
8950.0,2025-07-14
8567.0,2025-07-15
8322.0,2025-07-16
7309.0,2025-07-17
7800.0,2025-07-18
8156.0,2025-07-21
8149.0,2025-07-22
8440.0,2025-07-23
8124.0,2025-07-24
8329.0,2025-07-25
8518.0,2025-07-28
8220.0,2025-07-29
8192.0,2025-07-30
8506.0,2025-07-31
8232.0,2025-08-01
8102.0,2025-08-04
8363.0,2025-08-05
8470.0,2025-08-06
8644.0,2025-08-07
8526.0,2025-08-08
8778.0,2025-08-11
8793.0,2025-08-12
8566.0,2025-08-13
8225.0,2025-08-14
8235.0,2025-08-15
8047.0,2025-08-18
8012.0,2025-08-19
7675.0,2025-08-20
7435.0,2025-08-21
7582.0,2025-08-22
7957.0,2025-08-25
7532.0,2025-08-26
7731.0,2025-08-27
7738.0,2025-08-28
7635.0,2025-08-29
7420.0,2025-09-02
7475.0,2025-09-03
7205.0,2025-09-04
7382.0,2025-09-05
7131.0,2025-09-08
7270.0,2025-09-09
7356.0,2025-09-10
7451.0,2025-09-11
7315.0,2025-09-12
7539.0,2025-09-15
7371.0,2025-09-16
7385.0,2025-09-17
7233.0,2025-09-18
7243.0,2025-09-19
6959.0,2025-09-22
6992.0,2025-09-23
7048.0,2025-09-24
6925.0,2025-09-25
6908.0,2025-09-26
6998.0,2025-09-29
6749.0,2025-09-30
6675.0,2025-10-01
6481.0,2025-10-02
6190.0,2025-10-03
6283.0,2025-10-06
6179.0,2025-10-07
6000.0,2025-10-08
5945.0,2025-10-09
5848.0,2025-10-10
5822.0,2025-10-13
5899.0,2025-10-14
5809.0,2025-10-15
5991.0,2025-10-16
5895.0,2025-10-17
5899.0,2025-10-20
5916.0,2025-10-21
6298.0,2025-10-22
6339.0,2025-10-23
6319.0,2025-10-24
6182.0,2025-10-27
6002.0,2025-10-28
6044.0,2025-10-29
6058.0,2025-10-30
6151.0,2025-10-31
6559.0,2025-11-03
6600.0,2025-11-04
6396.0,2025-11-05
6185.0,2025-11-06
6013.0,2025-11-07
6102.0,2025-11-10
5829.0,2025-11-11
5625.0,2025-11-12
5487.0,2025-11-13
5287.0,2025-11-14
5264.0,2025-11-17
5262.0,2025-11-18
4943.0,2025-11-19
5108.0,2025-11-20
5084.0,2025-11-21
5090.0,2025-11-24
4999.0,2025-11-25
4993.0,2025-11-26
5404.0,2025-11-28
5456.0,2025-12-01
5401.0,2025-12-02
5453.0,2025-12-03
5434.0,2025-12-04
5643.0,2025-12-05
5648.0,2025-12-08
5829.0,2025-12-09
6168.0,2025-12-10
6235.0,2025-12-11
6226.0,2025-12-12
5823.0,2025-12-15
5998.0,2025-12-16
5978.0,2025-12-17
5934.0,2025-12-18
5845.0,2025-12-19
5887.0,2025-12-22
5958.0,2025-12-23
5966.0,2025-12-24
5953.0,2025-12-26
6242.0,2025-12-29
6063.0,2025-12-30
6065.0,2025-12-31
5871.0,2026-01-02
6077.0,2026-01-05
5954.0,2026-01-06
5915.0,2026-01-07
6077.0,2026-01-08
5345.0,2026-01-09
5443.0,2026-01-12
5224.0,2026-01-13
5090.0,2026-01-14
4966.0,2026-01-15
5076.0,2026-01-16
4648.0,2026-01-20
4448.0,2026-01-21
4469.0,2026-01-22
4201.0,2026-01-23
4348.0,2026-01-26
4433.0,2026-01-27
4150.0,2026-01-28
4177.0,2026-01-29
4165.0,2026-01-30
4210.0,2026-02-02
4300.0,2026-02-03
